symbol,ticker,close,score,breakout,trend_up,momentum,new_high,stop_loss,fibo_1272,fibo_1618,fibo_2000,fibo_2618,upside_1272_pct,upside_1618_pct,accuracy_proxy_pct,ret_20,ret_50,ret_100,ret_200,group_rs,rank,better_than_group
PPAP,PPAP.NS,354.8299865722656,21.0,False,True,True,False,194.43599395751954,429.3032016601563,492.65580377197267,562.6000061035156,675.7558098754882,20.988422034822364,38.842776094302025,50.0,45.858503037989905,76.20797297321873,60.03517256842472,54.763570333249504,59.21630472822071,1.0,True
ADANIENSOL,ADANIENSOL.NS,1658.9000244140625,20.0,False,True,True,False,1224.2339758300782,1841.308806640625,2005.7972150878907,2187.4000244140625,2481.197239501953,10.995767046961792,20.911277688138874,50.0,11.253440518781233,17.685872101728496,61.02699505343865,79.32116184127587,42.32186737880606,2.0,False
ADANIENT,ADANIENT.NS,3165.199951171875,15.0,False,True,False,False,2198.5990914334757,3523.58045164656,3877.9511732263754,4269.192836935883,4902.144010162258,11.322523252978044,22.51836323296459,35.0,7.528191539743023,28.61962659148032,41.18397501767432,18.316215132188663,23.912002070271583,3.0,False
BHAGYANGR,BHAGYANGR.NS,369.0,10.0,False,False,False,False,203.94989456176756,493.8508659667969,572.1472036437988,658.5899810791016,798.4371969299316,33.83492302623223,55.053442721896694,15.0,13.155471663151829,31.060208133035182,130.8269727205955,302.70654923132787,119.4373004370276,4.0,True
HSCL,HSCL.NS,662.0999755859375,10.0,False,False,False,False,481.47686325437695,781.0114476715247,861.1657156654495,949.6597340864879,1092.8254497519374,17.959745728785805,30.065812931550884,15.0,-1.0166016713905268,8.706036086547186,40.793833848587504,45.64985388150353,23.533280536311924,4.0,False
MTARTECH,MTARTECH.NS,6409.0,8.0,False,False,False,False,5035.14,9700.816,10956.104,12342.0,14584.104,51.36239662973945,70.94872835075674,15.0,-16.750016236929277,2.2821576763485396,70.52469578884693,242.9106474050294,74.7418711583239,5.0,True
