"SYMBOL ","SERIES ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","INDICATIVE CLOSE ","CHNG ","%CHNG ","VOLUME ","VALUE  (₹ Crores)","52W H ","52W L ","30D  %CHNG ","365 D   %CHNG "
"KRISHCA","SM","179.80","179.80","178.10","179.80","178.10","-","-1.70","-0.95","1,500","0.03","300.00","138.00",19.47,"-14.79"
"MYMUDRA","SM","74.00","74.30","73.40","74.60","74.30","-","-0.30","-0.40","3,600","0.03","119.10","60.00",-0.53,"9.54"
"HOMESFY","SM","126.15","126.25","126.15","132.75","126.15","-","-6.60","-4.97","2,100","0.03","399.85","118.80",7.93,"-66.39"
"PUSHPA","SM","128.65","128.70","128.65","128.70","128.70","-","-","-","2,000","0.03","148.75","81.15",4.38,"-"
"TROM","SM","70.00","71.50","68.50","70.00","71.50","-","1.50","2.14","3,600","0.03","193.10","42.90",40,"-58.49"
"SHIVASHRIT","SM","123.95","123.95","123.95","124.00","123.95","-","-0.05","-0.04","2,000","0.02","148.50","96.00",18.1,"-"
"BARFLEX","SM","60.00","60.00","59.00","59.30","59.00","-","-0.30","-0.51","4,000","0.02","82.40","53.00",0.34,"-2.71"
"LRRPL","SM","80.30","80.30","78.00","80.30","78.00","-","-2.30","-2.86","3,000","0.02","99.50","59.00",13.1,"27.16"
"MARUSHIKA","SM","97.00","97.00","97.00","94.00","97.00","-","3.00","3.19","2,400","0.02","123.00","87.00",-3.09,"-"
"PHOGLOBAL","SM","18.50","19.60","18.50","19.60","19.40","-","-0.20","-1.02","12,000","0.02","29.10","15.25",19.88,"-15.33"
"PCCL","SM","285.00","285.00","285.00","290.90","285.00","-","-5.90","-2.03","800","0.02","293.90","150.00",15.9,"69.82"
"SIDDHIKA","SM","229.00","229.00","226.80","225.00","226.80","-","1.80","0.80","1,000","0.02","243.00","175.00",7.14,"28.50"
"AVIANSH","SM","112.50","113.00","112.50","112.00","113.00","-","1.00","0.89","2,000","0.02","123.50","95.00",0.45,"9.80"
"ITALIANE","ST","37.10","37.10","37.10","37.10","37.10","-","-","-","6,000","0.02","49.00","24.05",-0.67,"14.15"
"RILINFRA","SM","33.65","33.65","33.00","33.55","33.30","-","-0.25","-0.75","6,700","0.02","53.90","27.60",-6.28,"0.15"
"KKJEWELS","SM","113.75","113.75","108.10","108.00","108.10","-","0.10","0.09","2,000","0.02","161.90","72.10",21.08,"-34.64"
"GANGABATH","ST","24.30","24.75","24.30","23.65","24.75","-","1.10","4.65","9,000","0.02","59.00","15.50",19.44,"-"
"IDENTICAL","ST","18.60","18.60","18.05","18.10","18.10","-","-","-","12,000","0.02","56.00","14.10",-4.49,"-62.80"
"AGNI","SM","21.25","22.00","21.25","22.05","22.00","-","-0.05","-0.23","10,000","0.02","43.35","13.60",33.64,"-10.55"
"K2INFRA","SM","50.15","52.50","50.15","52.85","52.50","-","-0.35","-0.66","4,200","0.02","90.90","40.80",13.05,"-32.76"
"FWSTC","SM","179.00","179.00","179.00","180.00","179.00","-","-1.00","-0.56","1,200","0.02","248.00","145.00",-6.25,"-"
"TAURIAN","SM","264.00","264.00","264.00","263.95","264.00","-","0.05","0.02","800","0.02","425.00","192.00",21.64,"-"
"ONYX","SM","35.05","35.05","34.70","35.05","34.70","-","-0.35","-1.00","6,000","0.02","56.00","28.10",6.21,"-36.85"
"MADHAVBAUG","SM","259.90","260.00","259.90","252.00","260.00","-","8.00","3.17","800","0.02","335.00","128.00",31.94,"92.37"
"HOLMARC","SM","92.30","92.30","92.20","97.05","92.20","-","-4.85","-5.00","2,250","0.02","176.95","60.05",46.6,"-27.57"
"VSCL","SM","22.95","22.95","22.95","24.15","22.95","-","-1.20","-4.97","9,000","0.02","35.15","16.05",5,"-12.18"
"ROCKINGDCE","SM","209.90","209.90","204.00","205.25","204.00","-","-1.25","-0.61","1,000","0.02","283.85","123.90",62.25,"-17.60"
"CURRENT","SM","128.00","128.00","128.00","122.30","128.00","-","5.70","4.66","1,600","0.02","163.00","106.05",-10.07,"-"
"BAWEJA","SM","35.40","36.45","34.15","34.30","36.45","-","2.15","6.27","5,600","0.02","75.70","21.10",44.12,"-29.13"
"AERON","SM","98.05","98.15","98.05","99.45","98.15","-","-1.30","-1.31","2,000","0.02","150.00","70.00",18.04,"-23.91"
"VLINFRA","ST","32.10","32.10","32.00","33.35","32.00","-","-1.35","-4.05","6,000","0.02","53.00","18.00",58.81,"-33.30"
"MAGSON","ST","182.00","182.00","182.00","179.00","182.00","-","3.00","1.68","1,000","0.02","199.50","100.50",18.03,"35.55"
"RBS","ST","108.00","108.25","108.00","106.45","108.25","-","1.80","1.69","1,600","0.02","143.00","58.80",47.85,"2.95"
"FORCAS","SM","103.00","103.00","103.00","101.30","103.00","-","1.70","1.68","1,600","0.02","140.00","81.05",-1.65,"0.35"
"MASTER","SM","323.00","323.00","323.00","323.00","323.00","-","-","-","500","0.02","436.00","282.50",5.9,"-1.48"
"ESCONET","ST","135.00","135.00","133.30","135.00","134.00","-","-1.00","-0.74","1,200","0.02","280.00","91.25",36.09,"-18.80"
"SLONE","SM","201.25","201.25","201.00","208.25","201.00","-","-7.25","-3.48","800","0.02","371.45","161.00",22.43,"-22.48"
"ASHWINI","SM","159.00","159.00","159.00","157.05","159.00","-","1.95","1.24","1,000","0.02","167.80","120.00",10.09,"-"
"WTICAB","SM","106.00","106.00","105.65","106.10","105.65","-","-0.45","-0.42","1,500","0.02","204.00","75.15",10.46,"-24.75"
"PSRAJ","SM","315.00","315.00","315.00","312.00","315.00","-","3.00","0.96","500","0.02","318.10","127.00",28.9,"122.86"
"RTL","ST","77.90","77.90","77.90","81.95","77.90","-","-4.05","-4.94","2,000","0.02","100.90","54.00",-4.49,"-"
"ATCENERGY","ST","32.00","32.00","32.00","32.00","32.00","-","-","-","4,800","0.02","108.95","19.35",11.89,"-69.01"
"NEWJAISA","ST","24.95","25.20","24.95","25.00","25.20","-","0.20","0.80","6,000","0.02","52.20","15.15",32.98,"-40.19"
"TANKUP","SM","600.00","600.00","600.00","600.00","600.00","-","-","-","250","0.01","817.60","152.55",36.43,"243.64"
"SPCON","SM","125.00","125.00","125.00","126.80","125.00","-","-1.80","-1.42","1,200","0.01","169.00","99.00",3.09,"-"
"DELAPLEX","SM","115.00","119.00","115.00","113.10","119.00","-","5.90","5.22","1,200","0.01","194.85","81.15",22.34,"-35.67"
"TSC","SM","34.55","34.70","34.55","36.95","34.70","-","-2.25","-6.09","4,000","0.01","79.30","27.50",24.41,"-"
"IBLFL","SM","65.10","65.10","65.10","65.10","65.10","-","-","-","2,000","0.01","74.00","43.95",33.4,"18.36"
"IPHL","SM","55.20","55.20","53.10","53.25","53.10","-","-0.15","-0.28","2,400","0.01","78.25","46.10",2.7,"2.21"
"OPTIVALUE","SM","80.00","80.00","80.00","81.00","80.00","-","-1.00","-1.23","1,600","0.01","107.55","56.05",16.3,"-"
"SHEETAL","SM","254.60","254.60","254.60","254.40","254.60","-","0.20","0.08","500","0.01","264.95","103.90",6.94,"139.55"
"SOTAC","SM","106.00","106.00","106.00","111.15","106.00","-","-5.15","-4.63","1,200","0.01","152.35","100.00",2.92,"-11.04"
"SUNTECH","SM","39.60","39.60","39.60","39.60","39.60","-","-","-","3,200","0.01","110.00","30.00",13.14,"-"
"CURIS","SM","125.00","125.00","125.00","120.00","125.00","-","5.00","4.17","1,000","0.01","147.90","83.60",33.41,"-"
"SHETHJI","SM","123.60","123.60","123.60","125.25","123.60","-","-1.65","-1.32","1,000","0.01","136.00","95.50",-0.36,"-"
"ENVIRO","SM","117.85","117.85","117.85","114.00","117.85","-","3.85","3.38","1,000","0.01","173.00","82.00",18.75,"5.07"
"SRIVASAVI","SM","57.95","58.00","57.95","56.00","58.00","-","2.00","3.57","2,000","0.01","79.00","39.00",21.74,"-8.94"
"MAXPOSURE","SM","39.00","39.00","37.20","39.50","38.40","-","-1.10","-2.78","3,000","0.01","74.00","32.00",13.02,"-31.42"
"ENFUSE","SM","191.00","191.00","191.00","191.00","191.00","-","-","-","600","0.01","284.00","150.00",6.14,"-13.38"
"JFLLIFE","SM","9.35","9.35","9.35","8.95","9.35","-","0.40","4.47","12,000","0.01","21.14","8.55",4.68,"-52.27"
"ECOLINE","SM","111.00","111.00","111.00","118.00","111.00","-","-7.00","-5.93","1,000","0.01","143.90","111.00",-2.44,"-"
"MEGATHERM","SM","276.05","276.05","276.05","283.75","276.05","-","-7.70","-2.71","400","0.01","380.00","170.00",39.47,"-4.28"
"ASPIRE","SM","18.05","18.05","17.95","17.20","17.95","-","0.75","4.36","6,000","0.01","40.00","10.20",53.57,"-55.78"
"SATECH","ST","52.70","52.70","52.70","50.50","52.70","-","2.20","4.36","2,000","0.01","74.05","31.80",33.6,"-15.69"
"CADSYS","ST","64.30","70.00","64.30","67.40","69.00","-","1.60","2.37","1,500","0.01","97.70","35.60",48.62,"-31.22"
"AISL","SM","54.35","57.45","54.35","56.95","57.45","-","0.50","0.88","1,800","0.01","117.25","54.15",5.17,"-41.89"
"USHAFIN","SM","30.40","32.45","30.40","31.80","32.45","-","0.65","2.04","3,200","0.01","53.83","26.75",-0.16,"-44.21"
"QVCEL","SM","28.85","30.60","28.85","30.35","30.60","-","0.25","0.82","3,200","0.01","37.00","21.80",33.11,"8.78"
"EFACTOR","SM","236.00","236.00","236.00","225.00","236.00","-","11.00","4.89","400","0.01","348.00","160.10",15.38,"31.20"
"EFORCE","ST","26.60","26.60","25.40","26.60","25.40","-","-1.20","-4.51","3,600","0.01","54.50","16.15",26.67,"-29.63"
"MDL","SM","47.00","47.00","46.70","48.00","46.70","-","-1.30","-2.71","2,000","0.01","105.00","43.00",-11.19,"-51.49"
"MIEL","SM","14.55","15.90","14.55","15.20","15.90","-","0.70","4.61","6,000","0.01","35.00","10.70",34.51,"-47.04"
"ARMOUR","SM","23.15","23.15","23.10","24.00","23.10","-","-0.90","-3.75","4,000","0.01","45.60","18.00",23.08,"-"
"NAMAN","SM","56.60","57.30","56.60","57.30","57.30","-","-","-","1,600","0.01","119.95","42.05",26.21,"-16.90"
"KONTOR","SM","74.95","75.80","74.95","68.95","75.80","-","6.85","9.93","1,200","0.01","91.80","53.25",19.39,"-6.76"
"PELATRO","SM","301.00","301.00","301.00","301.00","301.00","-","-","-","300","0.01","461.00","270.00",3.08,"-16.82"
"JYOTIGLOBL","ST","44.60","44.60","44.60","44.60","44.60","-","-","-","2,000","0.01","77.75","27.05",30.41,"-"
"MUNISH","SM","73.95","73.95","73.95","73.30","73.95","-","0.65","0.89","1,200","0.01","143.00","50.20",11.06,"-"
"VIGOR","SM","55.25","55.25","55.25","54.50","55.25","-","0.75","1.38","1,600","0.01","98.00","44.75",15.22,"-"
"ACCORD","ST","43.70","43.70","43.70","45.95","43.70","-","-2.25","-4.90","2,000","0.01","50.60","19.20",68.32,"138.70"
"DELTIC","ST","43.50","43.50","43.50","42.95","43.50","-","0.55","1.28","2,000","0.01","83.95","28.05",34.43,"-41.60"
"CONTI","SM","12.85","12.85","12.85","13.40","12.85","-","-0.55","-4.10","6,666","0.01","31.95","12.40",2.68,"-45.86"
"DCCL","SM","41.90","41.90","41.90","40.95","41.90","-","0.95","2.32","2,000","0.01","66.00","33.00",17,"-"
"RITEZONE","ST","24.90","26.00","24.90","25.00","26.00","-","1.00","4.00","3,200","0.01","36.55","13.80",81.16,"4.82"
"ANYA","SM","16.20","16.20","16.20","17.50","16.20","-","-1.30","-7.43","5,000","0.01","29.05","15.70",-4.37,"-23.41"
"GML","SM","20.25","20.25","19.00","20.25","19.00","-","-1.25","-6.17","4,000","0.01","54.00","15.15",17.39,"-"
"VINSYS","SM","310.00","310.00","310.00","304.70","310.00","-","5.30","1.74","250","0.01","475.00","215.00",21.88,"-22.74"
"MPEL","SM","45.00","45.00","45.00","45.40","45.00","-","-0.40","-0.88","1,600","0.01","153.90","42.00",-0.33,"-"
"VISHWAS","SM","42.90","42.90","42.90","41.00","42.90","-","1.90","4.63","1,600","0.01","63.45","32.05",15.49,"-30.51"
"MEDISTEP","ST","22.00","22.00","22.00","22.00","22.00","-","-","-","3,000","0.01","53.00","16.50",27.91,"-"
"SHREEKARNI","SM","435.80","435.80","435.80","435.80","435.80","-","-","-","150","0.01","712.00","329.95",15.14,"-19.11"
"NEPHROCARE","SM","80.50","81.95","80.50","81.50","81.95","-","0.45","0.55","800","0.01","183.00","50.05",39.91,"-43.01"
"KATARIA","SM","107.95","107.95","107.95","106.15","107.95","-","1.80","1.70","600","0.01","129.00","85.50",10.57,"-3.89"
"CRAYONS","SM","32.00","32.75","32.00","31.35","32.75","-","1.40","4.47","2,000","0.01","70.00","23.60",5.91,"-42.48"
"FONEBOX","SM","64.50","64.50","64.50","66.50","64.50","-","-2.00","-3.01","1,000","0.01","124.40","57.00",3.91,"-30.73"
"AMBEY","ST","31.50","31.50","31.50","31.50","31.50","-","-","-","2,000","0.01","48.30","16.20",55.56,"-17.97"
"VR","SM","154.80","154.80","154.80","147.50","154.80","-","7.30","4.95","400","0.01","241.95","125.00",2.72,"-38.54"
"KAYTEX","SM","72.45","72.45","72.45","71.00","72.45","-","1.45","2.04","800","0.01","156.90","50.35",25,"-"
"ROXHITECH","ST","35.00","35.00","35.00","36.55","35.00","-","-1.55","-4.24","1,600","0.01","57.45","22.95",35.87,"-14.00"
"PARAMOUNT","SM","40.80","40.80","40.80","40.00","40.80","-","0.80","2.00","1,200","-","73.90","33.50",7.38,"-27.73"
"PULZ","SM","24.40","24.40","24.40","25.45","24.40","-","-1.05","-4.13","2,000","-","62.90","22.25",4.09,"-52.87"
"ABHAPOWER","SM","30.05","30.05","30.05","30.65","30.05","-","-0.60","-1.96","1,600","-","55.25","23.55",23.09,"-2.70"
"GIRIRAJ","ST","186.00","186.00","186.00","194.00","186.00","-","-8.00","-4.12","250","-","409.00","96.80",4.86,"-5.34"
"BABAFP","SM","28.50","28.50","28.50","28.50","28.50","-","-","-","1,600","-","44.95","20.30",21.79,"-33.02"
"THESL","SM","15.00","15.00","15.00","15.00","15.00","-","-","-","3,000","-","43.50","11.45",21.95,"-50.41"
"ZEAL","SM","72.45","72.45","72.45","70.90","72.45","-","1.55","2.19","600","-","165.80","55.90",8.41,"-52.00"
"KEN","SM","36.00","36.00","36.00","36.00","36.00","-","-","-","1,200","-","64.85","31.05",3,"-4.64"
"NIDAN","SM","13.95","14.35","13.95","13.95","14.35","-","0.40","2.87","3,000","-","24.90","12.75",0.36,"-28.46"
"KONSTELEC","ST","41.05","41.05","41.05","41.05","41.05","-","-","-","1,000","-","86.65","28.00",41.55,"-41.52"
"NMSTEEL","SM","23.45","23.45","23.45","23.45","23.45","-","-","-","1,600","-","39.15","17.40",14.39,"-14.57"
"SATIPOLY","SM","36.90","36.90","36.90","35.15","36.90","-","1.75","4.98","1,000","-","94.30","27.15",14.5,"-59.46"
"DEEM","SM","34.70","34.70","34.70","36.35","34.70","-","-1.65","-4.54","1,000","-","72.60","29.35",8.67,"-47.17"
"KLL","SM","41.25","41.25","41.25","41.45","41.25","-","-0.20","-0.48","800","-","96.80","31.50",19.97,"-49.39"
"BMETRICS","SM","40.00","40.00","40.00","40.05","40.00","-","-0.05","-0.12","800","-","56.90","34.10",-2.91,"-14.33"
"INDIFRA","SM","13.00","13.00","13.00","12.40","13.00","-","0.60","4.84","2,000","-","24.50","11.70",5.98,"-22.50"
"YUDIZ","ST","26.05","26.05","26.05","26.80","26.05","-","-0.75","-2.80","800","-","39.30","22.15",9.84,"-18.91"
"EMKAYTOOLS","SM","103.00","103.00","103.00","103.90","103.00","-","-0.90","-0.87","150","-","442.35","83.10",9.71,"-72.66"
"PERFECT","SZ","2.10","2.10","2.10","2.00","2.10","-","0.10","5.00","3,000","-","13.75","1.30",37.93,"-86.16"
"QUICKTOUCH","SM","-","-","-","26.50","26.50","-","-","-","-","-","72.00","25.00",-3.64,"-45.47"
"AMEYA","SM","-","-","-","114.45","114.45","-","-","-","-","-","127.25","86.00",17.99,"9.00"
"VERITAAS","SM","-","-","-","50.45","50.45","-","-","-","-","-","86.65","35.90",15.71,"-33.53"
"ELGNZ","SM","-","-","-","70.25","70.25","-","-","-","-","-","163.50","52.00",12.58,"-47.57"
"MARINETRAN","SM","-","-","-","18.50","18.50","-","-","-","-","-","28.20","13.30",14.2,"6.32"
"JEYYAM","SM","-","-","-","35.50","35.50","-","-","-","-","-","74.50","22.05",9.06,"-3.14"
"ACTIVEINFR","SM","-","-","-","170.00","170.00","-","-","-","-","-","190.00","170.00",0,"-0.06"
"ETML","SM","-","-","-","88.00","88.00","-","-","-","-","-","152.55","72.50",-5.38,"-17.76"
