"SYMBOL ","SERIES ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","INDICATIVE CLOSE ","CHNG ","%CHNG ","VOLUME ","VALUE  (₹ Crores)","52W H ","52W L ","30D  %CHNG ","365 D   %CHNG "
"CELLPOINT","SM","-","-","-","16.80","16.80","-","-","-","-","-","21.15","11.70",31.76,"-2.61"
"SWASTIK","ST","-","-","-","23.30","23.30","-","-","-","-","-","47.45","12.50",53.8,"-47.76"
"EMMIL","SM","-","-","-","153.75","153.75","-","-","-","-","-","243.50","110.00",23.49,"-29.36"
"BULKCORP","SM","-","-","-","46.00","46.00","-","-","-","-","-","94.60","43.25",1.32,"-13.53"
"SONAMAC","ST","-","-","-","39.95","39.95","-","-","-","-","-","101.00","27.10",25.24,"-60.39"
"CBAZAAR","SM","-","-","-","4.95","4.95","-","-","-","-","-","8.00","3.05",-1,"-20.16"
"REXPRO","SM","-","-","-","44.70","44.70","-","-","-","-","-","107.95","38.30",7.07,"-46.75"
"EPWINDIA","ST","-","-","-","146.05","-","-","-","-","-","-","158.50","98.00",23.88,"-"
"AATMAJ","SM","-","-","-","20.00","20.00","-","-","-","-","-","25.50","16.95",3.36,"-2.44"
"AUSL","SM","-","-","-","22.85","22.90","-","0.05","0.22","-","-","48.30","17.35",24.86,"-16.15"
"SELLOWRAP","SM","-","-","-","69.70","69.70","-","-","-","-","-","139.65","62.10",11.61,"-"
"CLASSICEIL","SM","-","-","-","52.10","52.10","-","-","-","-","-","113.90","34.75",34.45,"-"
"BIRDYS","ST","-","-","-","140.65","123.00","-","-17.65","-12.55","-","-","154.00","100.50",32.69,"35.89"
"GSTL","ST","-","-","-","27.10","27.10","-","-","-","-","-","37.65","5.95",33.5,"100.00"
"GSTL","ST","-","-","-","27.10","27.10","-","-","-","-","-","37.65","5.95",33.5,"100.00"
"DHTL","SM","-","-","-","44.10","44.10","-","-","-","-","-","125.20","36.90",8.89,"-12.59"
"MAKS","SM","-","-","-","26.00","26.00","-","-","-","-","-","36.00","25.20",-1.7,"-4.59"
"UNILEX","SM","-","-","-","27.25","27.25","-","-","-","-","-","50.00","20.05",6.86,"-42.57"
"CLSL","SM","-","-","-","43.50","43.50","-","-","-","-","-","62.80","39.45",-5.23,"-11.22"
"RAPIDFLEET","SM","-","-","-","170.00","170.00","-","-","-","-","-","229.00","158.00",3.66,"-17.81"
"INTEGRITY","SM","-","-","-","142.75","142.75","-","-","-","-","-","145.10","81.70",35.31,"-"
"CEDAAR","SM","-","-","-","31.80","31.80","-","-","-","-","-","136.30","18.85",53.25,"-"
"SHANTHALA","SM","-","-","-","27.20","27.20","-","-","-","-","-","46.90","21.50",-2.86,"7.30"
"VIVO","SM","-","-","-","76.00","76.00","-","-","-","-","-","81.70","62.00",0,"21.50"
"SHRIKANHA","ST","-","-","-","27.20","27.20","-","-","-","-","-","88.00","15.10",62.87,"-"
"AESTHETIK","SM","-","-","-","73.85","73.55","-","-0.30","-0.41","-","-","155.60","59.60",13.62,"-7.69"
"SHEEL","SM","-","-","-","44.40","44.40","-","-","-","-","-","95.55","37.80",8.29,"-"
"BOSS","SM","-","-","-","39.90","39.90","-","-","-","-","-","54.50","35.75",-0.25,"-25.14"
"PROLIFE","SM","-","-","-","61.95","61.95","-","-","-","-","-","181.00","56.05",5,"-65.77"
"PRANIK","SM","-","-","-","52.45","52.45","-","-","-","-","-","92.90","37.00",18.13,"-23.15"
"AGARWALFT","ST","-","-","-","37.90","37.90","-","-","-","-","-","71.25","21.85",43.83,"-28.56"
"MAYASHEEL","SM","-","-","-","60.40","60.40","-","-","-","-","-","85.00","40.05",17.74,"-"
"MANAV","ST","-","-","-","36.20","36.20","-","-","-","-","-","45.00","11.55",-4.74,"229.09"
"FALCONTECH","SM","-","-","-","13.80","13.95","-","0.15","1.09","-","-","23.38","9.93",4.94,"-53.22"
"VEEKAYEM","ST","-","-","-","140.70","140.70","-","-","-","-","-","318.00","79.80",10.7,"-42.57"
"PRECISION","SM","-","-","-","8.00","8.00","-","-","-","-","-","28.40","6.75",15.94,"-65.14"
"PROFX","SM","-","-","-","69.00","69.00","-","-","-","-","-","136.90","56.00",16.95,"-"
"KHFM","SM","-","-","-","50.05","50.65","-","0.60","1.20","-","-","90.50","45.00",-9.49,"-44.97"
"MRIL","SM","-","-","-","37.75","37.75","-","-","-","-","-","82.00","29.05",7.24,"-"
"INSPIRE","ST","-","-","-","11.15","11.15","-","-","-","-","-","26.00","6.80",42.04,"-57.03"
"VIAZ","SM","-","-","-","62.95","64.95","-","2.00","3.18","-","-","99.55","49.30",3.11,"10.44"
"JAINAM","SM","-","-","-","244.00","244.00","-","-","-","-","-","322.85","169.00",40.23,"1.67"
"SABAR","ST","-","-","-","4.90","4.90","-","-","-","-","-","9.55","3.80",-5.77,"-43.68"
"SIGNORIA","SM","-","-","-","64.30","64.30","-","-","-","-","-","135.60","53.10",16.91,"-5.44"
"KEL","SM","-","-","-","83.70","83.70","-","-","-","-","-","148.00","61.00",7.24,"-18.78"
"MAHICKRA","ST","-","-","-","233.70","233.70","-","-","-","-","-","241.50","109.00",8.95,"105.00"
"HVAX","SM","-","-","-","819.00","819.00","-","-","-","-","-","1,029.30","565.00",0.73,"28.98"
"MADHUSUDAN","SM","-","-","-","156.55","158.50","-","1.95","1.25","-","-","190.00","108.60",5.96,"-3.48"
"PARTYCRUS","SM","-","-","-","91.30","91.30","-","-","-","-","-","97.95","63.05",7.41,"-4.40"
"SAROJA","SM","-","-","-","33.00","33.00","-","-","-","-","-","60.00","28.00",12.24,"-16.77"
"MMEL","SM","-","-","-","39.85","39.85","-","-","-","-","-","84.45","20.00",53.56,"-"
"NEELAM","SM","-","-","-","12.80","12.80","-","-","-","-","-","29.90","10.10",20.75,"-55.48"
"MOXSH","ST","-","-","-","133.85","133.85","-","-","-","-","-","133.85","27.00",0,"394.82"
"YCCL","SM","-","-","-","11.25","11.25","-","-","-","-","-","14.90","9.15",11.94,"-22.41"
"MICROPRO","SM","-","-","-","19.90","19.90","-","-","-","-","-","28.50","15.15",13.39,"-17.08"
"GAJANAND","SM","-","-","-","8.90","8.90","-","-","-","-","-","16.85","6.25",23.61,"-30.47"
"SHRITECH","SM","-","-","-","63.50","63.50","-","-","-","-","-","95.50","51.35",9.01,"-20.77"
"WINNY","SM","-","-","-","49.50","49.50","-","-","-","-","-","190.00","36.10",21.18,"-70.54"
"VELS","SM","-","-","-","71.75","71.75","-","-","-","-","-","94.50","39.75",31.17,"-6.82"
"SATTVAENGG","SM","-","-","-","71.70","71.00","-","-0.70","-0.98","-","-","118.90","43.50",37.09,"-"
"GJL","ST","-","-","-","157.00","157.00","-","-","-","-","-","276.45","91.40",-13.76,"-"
"TIRUPATI","SM","-","-","-","465.40","465.50","-","0.10","0.02","-","-","893.00","405.65",9.51,"-31.29"
"QFIL","SM","-","-","-","39.90","39.90","-","-","-","-","-","85.75","38.00",5,"-47.33"
"SKP","SM","-","-","-","156.50","156.50","-","-","-","-","-","253.95","137.00",4.44,"-30.24"
"SYLVANPLY","SM","-","-","-","58.15","58.15","-","-","-","-","-","95.00","40.00",26.41,"-22.47"
"JIWANRAM","SM","-","-","-","5.45","5.45","-","-","-","-","-","11.80","4.35",0.93,"-29.22"
"PRITIKA","SM","-","-","-","69.50","69.50","-","-","-","-","-","95.25","44.05",25.23,"-5.44"
"PENTAGON","SM","-","-","-","67.85","67.85","-","-","-","-","-","99.50","50.55",23.36,"-4.57"
"MPTODAY","SM","-","-","-","44.00","44.00","-","-","-","-","-","56.80","31.70",-6.38,"38.80"
"UHTL","SM","-","-","-","51.80","51.80","-","-","-","-","-","98.00","44.00",10.21,"-15.01"
"DECCANTRAN","SM","-","-","-","21.50","21.50","-","-","-","-","-","48.90","16.25",14.36,"-56.17"
"SHUBHSHREE","SM","-","-","-","329.70","329.70","-","-","-","-","-","494.95","274.00",9.92,"-14.81"
"PPSL","ST","-","-","-","7.30","7.30","-","-","-","-","-","30.00","5.05",21.67,"-74.02"
"BALCO","ST","-","-","-","21.75","21.75","-","-","-","-","-","38.15","13.40",47.96,"-36.96"
"SERVICE","ST","-","-","-","56.50","56.50","-","-","-","-","-","65.00","39.20",8.13,"-10.39"
"DIRL","SM","-","-","-","12.30","12.30","-","-","-","-","-","34.00","8.90",4.24,"-"
"REXPIPES","SM","-","-","-","202.00","202.00","-","-","-","-","-","208.00","65.00",0,"225.28"
"DIVYADHAN","ST","-","-","-","36.35","36.35","-","-","-","-","-","62.40","18.25",72.27,"-15.95"
"ASCOM","ST","-","-","-","262.80","262.80","-","-","-","-","-","285.00","76.55",16.8,"165.99"
"ESFL","ST","-","-","-","132.55","132.55","-","-","-","-","-","562.00","109.95",9.09,"-75.83"
"UWCSL","SM","-","-","-","97.05","97.05","-","-","-","-","-","159.85","93.05",4.3,"-36.19"
"QUADPRO","SM","-","-","-","1.95","1.95","-","-","-","-","-","4.65","1.85",2.63,"-46.58"
"IPSL","SM","-","-","-","217.45","217.45","-","-","-","-","-","385.00","172.05",-0.25,"-34.17"
"REFRACTORY","SM","-","-","-","40.15","40.15","-","-","-","-","-","72.50","28.65",27.26,"-42.02"
"ACETEC","SM","-","-","-","129.00","129.00","-","-","-","-","-","164.00","111.80",-4.41,"-"
"STRIDERS","SM","-","-","-","69.95","69.75","-","-0.20","-0.29","-","-","82.00","54.20",9.3,"-"
"CMRSL","SM","-","-","-","73.00","73.00","-","-","-","-","-","96.75","52.45",26.3,"-19.74"
"FROG","SM","-","-","-","163.10","162.60","-","-0.50","-0.31","-","-","290.00","123.50",10.95,"-36.88"
"GRETEX","ST","-","-","-","289.00","289.00","-","-","-","-","-","301.00","180.50",-3.54,"22.46"
"AMBANIORGO","ST","-","-","-","137.95","137.95","-","-","-","-","-","143.65","94.90",6.2,"31.38"
"SAMAY","SM","-","-","-","41.50","41.50","-","-","-","-","-","51.30","28.50",41.88,"-"
"ROYALARC","SM","-","-","-","165.00","165.00","-","-","-","-","-","185.00","126.50",4.96,"0.70"
"CPS","SM","-","-","-","950.10","950.10","-","-","-","-","-","1,349.25","660.00",2.05,"35.66"
"MONOPHARMA","SM","-","-","-","12.60","12.60","-","-","-","-","-","28.25","9.45",9.57,"-47.06"
"PLADAINFO","SM","-","-","-","11.25","11.25","-","-","-","-","-","27.75","9.10",17.19,"-39.19"
"JETKNIT","ST","-","-","-","89.20","89.20","-","-","-","-","-","109.95","89.20",0,"-18.91"
"AGUL","SM","-","-","-","56.85","56.85","-","-","-","-","-","86.00","37.30",-17.97,"37.65"
"UMA","SM","-","-","-","20.50","20.50","-","-","-","-","-","31.80","14.50",23.49,"-28.07"
"MEDIORG","SM","-","-","-","29.20","29.20","-","-","-","-","-","49.70","20.05",25.59,"0.86"
"DESTINY","SM","-","-","-","105.90","105.90","-","-","-","-","-","143.00","74.80",-14.22,"21.03"
"TRIDHYA","SM","-","-","-","9.85","9.85","-","-","-","-","-","26.40","6.30",29.61,"-59.80"
"SYNOPTICS","SM","-","-","-","58.45","58.45","-","-","-","-","-","112.35","39.65",42.39,"-33.28"
"GRAPHISAD","ST","-","-","-","35.30","35.30","-","-","-","-","-","52.80","29.25",9.46,"-15.95"
"ITTL","ST","-","-","-","94.65","94.65","-","-","-","-","-","152.40","51.10",-6.52,"88.92"
"DOLLEX","SM","-","-","-","30.40","30.40","-","-","-","-","-","44.25","26.00",-2.88,"-21.65"
"PARAMPARA","ST","-","-","-","11.00","11.00","-","-","-","-","-","12.00","5.75",-3.93,"-"
"USASEEDS","SM","-","-","-","108.95","108.95","-","-","-","-","-","220.08","90.00",15.29,"-28.79"
"INM","SM","-","-","-","165.15","170.00","-","4.85","2.94","-","-","344.50","152.25",-8.25,"-65.06"
"DTL","SM","-","-","-","115.00","115.00","-","-","-","-","-","178.00","82.05",23.66,"-15.44"
"VERTEXPLUS","SM","-","-","-","85.00","85.00","-","-","-","-","-","149.80","77.75",-1.28,"-9.38"
"QMSMEDI","SM","-","-","-","92.90","92.90","-","-","-","-","-","110.50","68.95",29.03,"6.54"
"SPUNWEB","SM","-","-","-","127.45","127.45","-","-","-","-","-","173.55","80.00",20.58,"-"
"ISHAN","ST","-","-","-","0.70","0.70","-","-","-","-","-","1.15","0.50",7.69,"-44.00"
"JAKHARIA","ST","-","-","-","60.50","60.50","-","-","-","-","-","60.70","26.67",0,"-21.94"
"BIKEWO","SM","-","-","-","24.55","24.55","-","-","-","-","-","25.75","13.65",35.64,"36.01"
"SPPPOLY","SM","-","-","-","14.15","14.15","-","-","-","-","-","19.30","10.30",22.51,"-21.39"
"GOLDSTAR","ST","-","-","-","7.05","7.05","-","-","-","-","-","11.05","4.50",17.5,"-28.79"
"KARNIKA","SM","-","-","-","129.00","129.00","-","-","-","-","-","224.95","104.55",10.87,"-78.67"
"MAL","SM","-","-","-","39.60","39.60","-","-","-","-","-","80.20","28.15",21.1,"33.33"
"SCML","SM","-","-","-","139.00","139.00","-","-","-","-","-","159.50","68.05",-5.28,"41.84"
"SIDDHICOTS","ST","-","-","-","30.60","30.50","-","-0.10","-0.33","-","-","86.40","26.70",0.33,"-"
"PATTECH","SM","-","-","-","111.30","111.30","-","-","-","-","-","160.00","72.20",17.53,"44.26"
"SFML","SM","-","-","-","23.15","23.15","-","-","-","-","-","43.50","16.50",10.77,"-39.71"
"SHKSIL","SM","-","-","-","42.95","42.95","-","-","-","-","-","84.00","38.00",4.12,"-"
"BAGDIGITAL","SM","-","-","-","111.75","111.50","-","-0.25","-0.22","-","-","139.00","95.75",2.38,"-"
"MEGAFLEX","ST","-","-","-","145.00","145.00","-","-","-","-","-","155.05","43.50",-4.13,"126.56"
"ENSER","ST","-","-","-","15.45","15.65","-","0.20","1.29","-","-","23.25","7.80",33.77,"-21.17"
"SHREEOSFM","SM","-","-","-","70.05","70.05","-","-","-","-","-","125.00","65.00",-6.29,"-38.12"
"GLOBALPET","SM","-","-","-","117.75","117.75","-","-","-","-","-","159.70","85.00",27.02,"0.43"
"RAJPUTANA","SM","-","-","-","240.20","240.20","-","-","-","-","-","299.00","200.00",15.7,"0.69"
"JALAN","SM","-","-","-","1.80","1.80","-","-","-","-","-","11.60","1.65",2.86,"-84.75"
"PREMIUM","SM","-","-","-","37.20","37.20","-","-","-","-","-","44.25","26.05",8.61,"24.83"
"MARCO","SM","-","-","-","39.00","38.50","-","-0.50","-1.28","-","-","50.00","26.60",18,"-2.50"
"TEJASCARGO","SM","-","-","-","353.00","353.00","-","-","-","-","-","363.60","158.00",23.66,"118.71"
"WOL3D","SM","-","-","-","162.60","162.60","-","-","-","-","-","209.95","106.65",30.39,"11.18"
"IDEALTECHO","SM","-","-","-","187.45","187.45","-","-","-","-","-","259.80","121.00",-9.62,"39.94"
"ALCODIS","ST","-","-","-","82.50","82.50","-","-","-","-","-","208.50","49.00",41.15,"-"
"SHIGAN","ST","-","-","-","72.70","72.70","-","-","-","-","-","95.00","41.20",40.89,"-3.32"
"NEPTUNE","ST","-","-","-","200.00","200.00","-","-","-","-","-","246.90","126.30",8.7,"-"
"DRSDILIP","ST","-","-","-","113.55","113.55","-","-","-","-","-","119.50","52.25",-4.98,"7.12"
"TRUST","SM","-","-","-","39.05","40.00","-","0.95","2.43","-","-","94.10","27.90",23.97,"-50.25"
"BHADORA","SM","-","-","-","72.60","72.80","-","0.20","0.28","-","-","128.85","49.50",22.53,"-"
"PROV","SM","-","-","-","1,370.00","1,370.00","-","-","-","-","-","1,395.00","815.10",16.6,"19.13"
"VISHNUINFR","SM","-","-","-","149.95","149.95","-","-","-","-","-","218.90","125.20",14.03,"-19.12"
"SANGANI","SM","-","-","-","52.50","52.50","-","-","-","-","-","77.00","37.00",34.62,"-25.95"
"ASHALOG","SM","-","-","-","66.05","64.30","-","-1.75","-2.65","-","-","92.60","50.00",5.01,"-14.44"
"ARIHANTACA","SM","-","-","-","480.00","480.00","-","-","-","-","-","555.00","250.00",-3.03,"84.62"
"PRLIND","SM","-","-","-","66.95","66.95","-","-","-","-","-","114.00","44.80",26.32,"-24.61"
"PARAMATRIX","SM","-","-","-","69.00","69.00","-","-","-","-","-","106.00","56.50",11.29,"-26.08"
"RCDL","SM","-","-","-","22.05","22.05","-","-","-","-","-","30.85","16.50",3.52,"5.50"
"AARADHYA","SM","-","-","-","105.00","105.00","-","-","-","-","-","182.00","79.60",5,"-"
"SUNREST","SM","-","-","-","36.25","36.25","-","-","-","-","-","54.46","26.38",-3.33,"-34.09"
"DKEGL","SM","-","-","-","78.50","78.50","-","-","-","-","-","89.60","60.50",24.6,"17.16"
"VDEAL","SM","-","-","-","188.95","190.00","-","1.05","0.56","-","-","260.00","122.45",-3.05,"42.07"
"TAPIFRUIT","SM","-","-","-","60.00","60.00","-","-","-","-","-","104.80","54.90",1.87,"-36.14"
"SHUBHLAXMI","SM","-","-","-","23.60","23.60","-","-","-","-","-","40.00","13.35",-1.05,"40.06"
"AUROIMPEX","SM","-","-","-","34.00","34.00","-","-","-","-","-","60.00","21.25",30.77,"-33.20"
"ETL","SM","-","-","-","960.00","960.00","-","-","-","-","-","1,235.00","721.10",5.49,"-"
"PSFL","SM","-","-","-","31.00","31.00","-","-","-","-","-","57.65","21.15",27.84,"-40.50"
"OMFURN","ST","-","-","-","63.95","63.95","-","-","-","-","-","140.00","38.00",59.88,"-38.83"
"ARABIAN","SM","-","-","-","69.75","69.75","-","-","-","-","-","92.95","63.20",4.18,"-5.68"
"MANDEEP","SM","-","-","-","22.90","22.90","-","-","-","-","-","31.90","17.25",21.49,"-10.02"
"GREENCHEF","SM","-","-","-","49.00","49.00","-","-","-","-","-","74.05","40.40",4.14,"-24.62"
"SOCL","ST","-","-","-","31.25","31.95","-","0.70","2.24","-","-","68.80","23.65",17.26,"-"
"ZENITHDRUG","SM","-","-","-","39.65","39.65","-","-","-","-","-","84.65","33.30",-0.75,"-51.56"
"AMCL","SM","-","-","-","483.50","482.00","-","-1.50","-0.31","-","-","529.90","161.70",13.23,"-"
"AMIABLE","SM","-","-","-","72.50","72.50","-","-","-","-","-","98.50","54.00",3.57,"-9.49"
"WINSOL","SM","-","-","-","137.85","139.00","-","1.15","0.83","-","-","272.00","93.50",31.04,"-30.36"
"FORGEAUTO","SM","-","-","-","92.90","92.90","-","-","-","-","-","175.50","68.45",29.21,"20.65"
